Name of Organisation,type of organisation,registration or charity number,amount awarded (£),date the grant was awarded by City Executive Board,time period for when the grant was awarded,How the grant will be paid,Description of what the funding was awarded for
Archway Foundation,Registered charity,299533,7500,11/02/2016,2016/17,"3 single payments (£5,000, £2,000 & £500)","Funding was awarded to support individuals in Oxford who feel isolated, lonely and marginalised through disabity, low income or heath problems."
Asylum Welcome,Registered charity,1092265,10000,11/02/2016,2016/17,"3 single payments (£7,000, £2,000 & £1,000)",Funding was awarded to support refugees and asylum seekers in Oxford.
"Berkshire, Buckinghamshire & Oxfordshire Wildlife Trust (BBOWT)",Registered charity,204330,2000,11/02/2016,2016/17,"2 single payments (£1,500 & £500)",funding was awarded to contribute towards the 2016 Festival of Nature
Blackbird Leys Adventure Playground,Registered charity,273172,7500,11/02/2016,2016/17,"3 single payments (£6,000, £1,000 & £500)",Funding was awarded to contribute towards the running of out of schools activities on Blackbird Leys
Blackbird Leys Community Development Initiative,Registered charity,1137129,7000,11/02/2016,2016/17,"3 single payments (£5,000, £1,500 & £500)",Funding was awarded for the Clockhouse Project - running activities for local residents over 50 years old
Community Emergency Foodbank,Registered charity,1153907,5000,11/02/2016,2016/17,"3 single payments (£3,500, £1,000 & £500)",Funding was awarded to contribute towards the general running costs of the emergency food bank.
Cutteslowe Community Association,Registered charity,1154860,4450,11/02/2016,2016/17,"2 single payments (£4,000 & £450)",Funding awarded to contribute towards the costs of providing a 3 week summer play scheme for local children aged 4-11 years old on Cutteslowe
Cutteslowe Seniors,"Unregisteredcommunity group",n/a,1000,11/02/2016,2016/17,"3 single payments (£700, £200 & £100)",Funding awarded to support transport costs for the most vulnerable and access for disadvantaged individuals.
Donnington Doorstep Family Centre,"Incorporated companyand registered charity",1144821,7000,11/02/2015,2016/17,"3 single payments (£4,000, £2,000 & £300) to organisation with £700 to Council for rent",Funding was awarded to contribute towards the 1-2-1 support for children and young people who have been identified as at risk of social exclusion or offending. £700 was deducted from the grant to pay rent charges due to Oxford City Council for 2015/16.
Dovecote Voluntary Parent Committee,"unregisteredcommunity group",n/a,2500,11/02/2016,2016/17,"2 single payments (£2,000 & £500)",Funding awarded to contribute towards their centre based school holiday play schemes.
Headington Action,"Unregisteredcommunity group",n/a,500,11/02/2016,2016/17,2 single payments (£450 & £50),funding awarded to contribute towards the cost of insurance for the 2 day Headington Summer Festival
Innovista - Thrive Project,Registered charity,1108679,8000,11/02/2016,2016/17,"3 payments of £6,000, £1,500 & £500",Funding awarded to run a year long intensive mentoring programme targeting 12 'high risk' young people on Barton & Sandhills.
JACARI,Registered charity,1108827,2000,11/02/2016,2016/17,"3 single payments (£1,000, £500 & £500)",Funding awarded to contribute towards home tutoring for children and young people who have been identified as needing additional support.
Open Door,Registered charity,1150626,2966,11/02/2016,2016/17,"2 single payments (£2,500, & £466)",Funding was awarded to contribute towards a weely drop in session for adult refugees and asylum seekers.
Oxford City of Sanctuary,"Unregisteredcommunity group",n/a,5000,11/02/2016,2016/17,"3 single payments (£3000, £1,500 & £500)",Funding was awarded to contribute towards management and admin costs to recruit more members of the public who have an empty room that could be offered free of use to asylum seekers or refugees.
Oxfordshire Play Association,Registered charity,276706,2500,11/02/2016,2016/17,"2 single payments (£2,000 & £500)",Funding was awarded to contribute towards a play & activity day for families and children living in Cutteslowe.
Restore,Registered charity,2742222,3099,11/02/2016,2016/17,"2 single payments (£2,500 & £599)",Funding was awarded to contribute towards the costs of organising and planning the Elder Stubbs Festival due to take place on 20th August 2016.
Rose Hill Junior Youth Club,Registered charity,1161836,7500,11/02/2016,2016/17,"3 single payments (£6,000, £1,000 & £500)",Funding awarded to contribute towards room hire charges at Rose Hill community centre.
South Oxford Adventure Playground,Registered charity,270852,8000,11/02/2016,2016/17,"2 single payments (£6,000, £1,500 & £500)",Funding was awarded to contribute towards the general running costs to provdie free supervised play during Easter & Summer school holidays.
WEA - Oxford Community Branch,Registered charity,1112775,2485,11/02/2016,2016/17,"3 single payments (£1,500, £500 & £485)",Funding was awarded to run a community arts project in Wood Farm.
Wood Farm Youth Club,"Unregisteredcommunity group",n/a,7000,11/02/2016,2016/17,"3 single payments (£5,000, £1,000 & £1,000",Funding was awarded to contribute towards providing a Wednesday youth club for young people living on Wood Farm.
